data_type,approaches,distribution,repetition,train_loss,val_loss,val_tn,val_fp,val_fn,val_tp,val_acc,val_bacc,val_prec,val_rec,val_f1,val_matthews_corrcoef
S,sst_imise,setting3,0,0.15756092965602875,0.26909592747688293,92,15,3,61,0.8947368421052632,0.9064690420560748,0.8026315789473685,0.953125,0.8714285714285714,0.7917184152622828
S,sst_hsm,setting3,0,0.052147675305604935,0.27882131934165955,88,19,1,63,0.8830409356725146,0.9034024532710281,0.7682926829268293,0.984375,0.863013698630137,0.781535080835604
S,iil,setting3,0,0.10100136697292328,0.28497207164764404,91,16,1,63,0.9005847953216374,0.9174211448598131,0.7974683544303798,0.984375,0.8811188811188811,0.8103616071096019
S,Ciil,setting3,0,0.10796356201171875,0.23473483324050903,97,10,1,63,0.935672514619883,0.9454585280373832,0.863013698630137,0.984375,0.9197080291970803,0.871655111479103
S,sst_uka,setting3,1,0.16235344111919403,0.23596912622451782,99,8,5,59,0.9239766081871345,0.9235543224299065,0.8805970149253731,0.921875,0.9007633587786259,0.8397826902385567
S,sst_umg,setting3,1,0.1219174861907959,0.23721835017204285,104,3,7,57,0.9415204678362573,0.931293808411215,0.95,0.890625,0.9193548387096774,0.8746775512748788
S,sst_ukk,setting3,1,0.29148975014686584,0.23793824017047882,105,2,2,62,0.9766081871345029,0.9750292056074766,0.96875,0.96875,0.96875,0.9500584112149533
S,sst_ukl,setting3,1,0.08540668338537216,0.20349466800689697,102,5,6,58,0.935672514619883,0.9297605140186915,0.9206349206349206,0.90625,0.9133858267716536,0.8622957179569795
S,sst_imise,setting3,1,0.15927967429161072,0.25824958086013794,97,10,2,62,0.9298245614035088,0.9376460280373832,0.8611111111111112,0.96875,0.9117647058823529,0.8579283461652149
S,sst_hsm,setting3,1,0.05480573698878288,0.2823515236377716,90,17,1,63,0.8947368421052632,0.9127482476635513,0.7875,0.984375,0.875,0.8006291900821215
S,iil,setting3,1,0.09439247846603394,0.27165934443473816,94,13,1,63,0.9181286549707602,0.9314398364485981,0.8289473684210527,0.984375,0.9,0.8403564066435835
S,Ciil,setting3,1,0.10281956940889359,0.23954708874225616,98,9,1,63,0.9415204678362573,0.9501314252336448,0.875,0.984375,0.9264705882352942,0.8824037794642225
S,sst_uka,setting3,2,0.13600344955921173,0.22642691433429718,99,8,7,57,0.9122807017543859,0.9079293224299065,0.8769230769230769,0.890625,0.8837209302325582,0.8133681918450816
S,sst_umg,setting3,2,0.11267475038766861,0.2475975900888443,103,4,7,57,0.935672514619883,0.9266209112149533,0.9344262295081968,0.890625,0.912,0.8619711898375587
S,sst_ukk,setting3,2,0.3133280575275421,0.24737194180488586,103,4,3,61,0.9590643274853801,0.9578709112149533,0.9384615384615385,0.953125,0.9457364341085271,0.9129464705674794
S,sst_ukl,setting3,2,0.08069454878568649,0.19346074759960175,104,3,8,56,0.935672514619883,0.923481308411215,0.9491525423728814,0.875,0.9105691056910569,0.8622061187899139
S,sst_imise,setting3,2,0.17702069878578186,0.26615574955940247,94,13,2,62,0.9122807017543859,0.9236273364485981,0.8266666666666667,0.96875,0.8920863309352518,0.8262844892910617
S,sst_hsm,setting3,2,0.05316426232457161,0.283158540725708,89,18,1,63,0.8888888888888888,0.9080753504672897,0.7777777777777778,0.984375,0.8689655172413793,0.7910218311672426
S,iil,setting3,2,0.10235612839460373,0.2771078050136566,90,17,1,63,0.8947368421052632,0.9127482476635513,0.7875,0.984375,0.875,0.8006291900821215
S,Ciil,setting3,2,0.10602579265832901,0.25514286756515503,97,10,1,63,0.935672514619883,0.9454585280373832,0.863013698630137,0.984375,0.9197080291970803,0.871655111479103
S,sst_uka,setting3,3,0.16226771473884583,0.23670518398284912,98,9,7,57,0.9064327485380117,0.9032564252336448,0.8636363636363636,0.890625,0.8769230769230769,0.8017270745329002
S,sst_umg,setting3,3,0.12643541395664215,0.22543486952781677,102,5,9,55,0.9181286549707602,0.9063230140186915,0.9166666666666666,0.859375,0.8870967741935484,0.8240359865997461
S,sst_ukk,setting3,3,0.29947277903556824,0.25186488032341003,104,3,2,62,0.9707602339181286,0.970356308411215,0.9538461538461539,0.96875,0.9612403100775194,0.9378410402480787
S,sst_ukl,setting3,3,0.08831621706485748,0.21173979341983795,101,6,8,56,0.9181286549707602,0.9094626168224299,0.9032258064516129,0.875,0.8888888888888888,0.8243602369584817
S,sst_imise,setting3,3,0.17688557505607605,0.2694239020347595,94,13,1,63,0.9181286549707602,0.9314398364485981,0.8289473684210527,0.984375,0.9,0.8403564066435835
S,sst_hsm,setting3,3,0.05231018364429474,0.2770385444164276,88,19,1,63,0.8830409356725146,0.9034024532710281,0.7682926829268293,0.984375,0.863013698630137,0.781535080835604
S,iil,setting3,3,0.09289395809173584,0.278605580329895,90,17,1,63,0.8947368421052632,0.9127482476635513,0.7875,0.984375,0.875,0.8006291900821215
S,Ciil,setting3,3,0.1054966077208519,0.23224708437919617,98,9,2,62,0.935672514619883,0.9423189252336448,0.8732394366197183,0.96875,0.9185185185185185,0.8687968123475068
